内容,作者,发布时间,转发数,评论数,点赞数,页码
"@嗷嗷嗷嗷斯汀苌 #常道勤# 对于主持人而言，不只是打磨声音，更多的是打磨自己的内心；在现场既需要内心的强大，还需要追寻自己的热爱，常道勤找到自己的热爱就是体育 希望大家都能用自己的声音表达自己的热爱#中国传媒大学##主持人大赛#

主持人大赛|实用干货分享第三弹 ​ 展开c",陳小麗LilyChan,2023年11月26日 21:26,1,5,0,23
"#中国传媒大学读书节#
「漫游书屋」——风翻页动，走进东西方繁华都市🌃

我们相信书籍有着神奇的力量， 能够让我们穿越时空，踏上奇妙的冒险之旅⛰️

「漫游书屋」第一期，学小实将带领小白杨们穿越到上世纪初的上海，19世纪的法国，以及中世纪的中东🌍领略作者笔下的瑰丽想象或是心路历程，体 ​ 展开c",广院学实交流会,2023年11月26日 00:03,4,7,0,23
"我与中传的第五个秋🍂

还没有掉光光的树叶是秋日的最后一点痕迹，在这里，还会有下一个秋。

📷：小勺
#北京的秋天##中国传媒大学##打卡一个秋天##写真##氛围感# 2北京·中国传媒大学 ​",彤七七呀_,2023年11月23日 17:46 ,5,16,0,24
"挑战全网女生最多的球场
#打篮球的女生##中国传媒大学#
L常常常新宇的微博视频 ​",常常常新宇,2023年11月20日 16:54 ,2,13,0,24
"#月亮生活碎片放送ing##中国传媒大学#
▶︎▷
晚风轻踩着云朵，夕阳深处有一家七彩的小卖部，贩卖着浪漫与温柔

与你分享 美好瞬间ξ( ✿＞◡❛)

#与你邀月 月明星稀# ​",把月亮偷偷给你,2023年11月17日 19:28 ,1,9,0,24
#中传着火##中国传媒大学# 恰同学少年，为梦想“当燃”……地狱级笑话……同学无一伤亡，快递无一幸免…… 2北京·中国传媒大学 ​,乐比小新_,2023年11月15日 02:59 ,1,7,0,25
#中传着火# 谁家学校驿站着了同学们带相机冲下楼啊所幸人没事儿，只是苦了双十一买完东西并且到菜鸟的友友们中国传媒大学超话#中国传媒大学# ​​​,LO吕珪VE,2023年11月14日 23:03 ,0,12,0,25
"#中国传媒大学#中国传媒大学超话
钢琴🎹湖畔音乐会，大型室外蹦迪现场
二人转节目看得我是目不转睛
当二人转演员当众表演头碎玻璃啤酒瓶时
大学校园里顿时“听取蛙声一片” 2北京·中国传媒大学 ​",凌晨鱼落雁,2023年11月14日 01:09 ,1,7,0,25
开始速冻啦🥶#中国传媒大学##冬天#中国传媒大学超话 2北京·中国传媒大学 ​,白日梦爱好者Bruce_,2023年11月13日 12:35 ,2,18,0,25
CUC Musical❤️🎵#中国传媒大学# ​,窦玉晴_微博,2023年11月12日 13:36 ,1,6,0,25
