内容,作者,发布时间,转发数,评论数,点赞数,页码
"打个卡，下排[爱心]
上次排练到这个点儿，还是艺考的时候。
希望今天的演出，一切顺利吧，加油～
大家辛苦啦！
#中国传媒大学#中国传媒大学超话#演员# 2北京·中国传媒大学 ​",应振南,2023年06月15日 02:30 ,1,13,0,40
"邓智伟超话
为大家送上新鲜速递📦

Cw昨晚出席中国传媒大学#粤上心头# 歌唱比赛作为评委以及特别表演嘉宾，为参加比赛的同学们打气实在太优秀啦

实名羡慕现场的小伙伴啦
没关系，我们也可以网上冲浪🏄🏻‍♀️嘿嘿～关注我们bb的高光时刻 ​ 展开c",邓智伟cw_garden官方歌迷会,2023年06月11日 17:49 ,16,51,0,41
"期待青年学者相聚，欢迎艺术领域青年学者联系学校、人事部门和后面的邮箱。
文章链接：O欢迎报名中国传媒大学第二届“金核桃”国际青年学者论坛
#中国传媒大学##金核桃# ​",中国传媒大学刘俊,2023年06月10日 20:27 ,4,12,0,41
#种地吧#紧急关注一下#中国传媒大学# 6点有直播，到现在我都还不晓得是个啥活动？先关注了。 ​,下一站心想事成,2023年06月08日 17:47 ,0,3,0,41
"“不积跬步，无以致千里”，在每天只需花费半小时的打卡活动中，知识在积少成多中慢慢增加和牢固，最终成为我们考研的底气
空了个格打鸣企划第二期👉O儿童节要不要一起来做点成年人的事？
准备好了吗，让我们一起出发吧！#24考研#中传考研超话中国传媒大学考研超话#中国传媒大学##中传# ​ 展开c",空了个格中传考研,2023年05月31日 10:58 ,0,4,0,42
"举孤者难行 众行者易趋
#中国传媒大学# LElaine孙雅琳的微博视频 ​",Elaine孙雅琳,2023年05月26日 18:54 ,4,29,0,42
"中传考研超话在上一期的“给你好刊”中，李师叔已经给我们详细解答了常见的期刊分类、如何选择期刊、期刊“黑名单”有哪些、如何分析论文内容等大家咨询较多的问题。
从这一期开始，我们会逐渐为大家介绍一些适合当前阶段发表的期刊，以及相应的选题与投稿建议。👉O给你好刊02｜看过来！这些期刊超好发！
本期内 ​ 展开c",空了个格中传考研,2023年05月25日 09:55 ,0,7,0,42
忍不住先发个工作vlog！5.20中国传媒大学国际教育学院的“传统文化进校园”活动圆满成功啦，特别开心能回国后居然能有契机继续策划文化类活动，做国际类文化输出。感谢承办方@夜不收历史重演 ，协办方@控弦司 提供的汉服试穿、轻吕学宫的夺旗斩将活动、六法精彩原创讲座，@花小花酱 小花酱绒花爱的初体 ​ 展开c,DC热心市民廖女士,2023年05月21日 17:27 ,4,15,0,42
"🌷5.21
祝我一直勇敢磊落 一直爱与被爱🌷要继续做一个善良开朗的女孩👧！#生日快乐##中国传媒大学##完美理想型# 2北京 ​",一只王彩虹,2023年05月21日 11:44 ,7,14,0,42
为什么学校广播站放的歌，总是更好听呢？#开拍吧新星##出圈吧大学生##中国传媒大学# L斯那央初的微博视频 ​,斯那央初,2023年05月18日 23:42 ,2,6,0,42
"【闪光灯之下】
中国传媒大学广告学院−23级视觉传达本科毕设《画地为牢》
#中国传媒大学##视觉传达##视觉传达设计##艺术展览# 2北京·中国传媒大学 ​",柯柯suguoi,2023年05月14日 00:40 ,9,15,0,42
"【近日碎片】
二次元狂喜日料店🍱 和店里的小浣熊🦝
自己吃饭或最多两人的自在🍚
换了新的熏香和日心说挂画🌏
#中国传媒大学##闪闪发光的同学##令人心动的日常##日常碎片plog##北京探店# 2北京·中国传媒大学 ​",柯柯suguoi,2023年05月11日 23:02 ,4,10,0,43
its blue 🩻#写真##中国传媒大学# 2北京·中国传媒大学 ​,小邓爱说话,2023年05月11日 20:30 ,2,5,0,43
"【巅峰名师说—动画刘庭呈校长】
中传北电文化课录取分数线讲解

#美术生##巅峰广艺#美术生超话画室超话绘画超话#动画##中国传媒大学#北京电影学院超话 L央美-王越的微博视频 ​",央美-王越,2023年05月10日 16:10 ,0,6,0,43
"双非一本 网络与新媒体专业👉中国传媒大学 新闻与传播专业（全媒体新闻实务方向）

看到自己材料分的第一反应很惊讶，感觉是努力和幸运的双重结果，我深知自己还需要更加努力才配得上自己的梦想！这里把自己的个人总结和心得体会放上来供今后考中传的uu们参考，希望对大家能有帮助！最后是幸运上岸啦 ​ 展开c",Cap霄,2023年05月08日 03:01 ,11,20,0,43
"【2023中国传媒大学2+2留学预备课程招生简章】

欢迎同学们报考中传出国预科项目！
报名请添加我们的官方公主号：尚东文化UESC
或客服老师vx：today-UESC进行详询！

#中国传媒大学##高考##留学# ​",尚东UESC,2023年05月06日 09:56 ,1,3,0,43
"中国传媒大学超话 《经典咏流传》主创团队来中传啦！
“万千经典 和诗以歌”🎶#中国传媒大学##经典咏流传##校园生活# 2北京·惠生园 ​",中国传媒大学微博协会,2023年04月29日 09:47 ,5,16,0,43
"中国传媒大学超话上周的国潮奇妙夜！[锦鲤附体]
“灯火长明 喜乐安宁”🏮#中国传媒大学##国潮##夜景# 2北京·中国传媒大学 ​",中国传媒大学微博协会,2023年04月27日 11:53 ,9,18,0,44
中国传媒大学超话大家有没有去看25周年重映版的《泰坦尼克号》呀！！再看一遍还是好震撼好感动…#泰坦尼克号内地重映定档##中国传媒大学##泰坦尼克号# 2北京·中国传媒大学 ​,中国传媒大学微博协会,2023年04月27日 08:39 ,6,24,0,44
中国传媒大学超话 记录上周！朗朗老师来中传啦～（并且真的成老师了喔#朗朗##中国传媒大学##钢琴# ​,中国传媒大学微博协会,2023年04月25日 20:12 ,8,19,0,44
中国传媒大学超话 特别特别喜欢CUC各种各样的市集～#中国传媒大学##市集##摆摊# ​,中国传媒大学微博协会,2023年04月25日 10:28 ,7,12,0,44
妈呀，看到自己的想法被做成现实的感觉真的好好啊！这次是真切地被CUC感动了。#中国传媒大学# 2北京·中国传媒大学图书馆 ​,hi机智,2023年04月22日 15:22 ,3,5,0,44
#校园博主# 上线了！「春天回广院」！时隔四年后，老陈在一个下午和大学老同学&论坛老网友梨子回到母校#中国传媒大学##北京广播学院# 走走看看，瞧瞧有啥新变化！本系列一共多集，正在更新！本集西门-明德楼（原网球场）-电视台（原视听中心）-核桃林-影视学院影棚（原小礼堂）-南门-西配楼-新闻学院 ​ 展开c,SendersChen,2023年04月12日 16:59 ,3,12,0,45
"【CUC博资考，又名文化大跃进】
上午3h 3道论述，字数3000➕范围31本书
下午3h 1本书评，字数3000➕范围25本书
晚上40min面试3道题，范围50本书……
不如去给评委组磕头，真有人想来吗
#中国传媒大学# 2北京·中国传媒大学图书馆 ​",柯柯suguoi,2023年04月10日 11:32 ,18,18,0,45
"本校传媒艺术学招收海外博士研究生（4年制）
Doctoral ​Degree Program Majoring in Media Arts at CUC
招生简章链接：O中国传媒大学2023年国际学生招生简章
#传媒艺术##传媒艺术学##中国传媒大学##留学生# ​",中国传媒大学刘俊,2023年04月01日 23:05 ,0,8,0,45
"#声音潮流季##第十四届大学生声音潮流季#中国传媒大学超话#中国传媒大学#
声潮晚会倒计时第7天｜ 配音演员锦鲤点评获奖作品
字节在宇宙中流转，声音被光波传递。“元宇宙”将时空重塑，为我们的故事提供了更多种可能。他们为科技作品重新填色，他们与虚拟人物促膝长谈。用自己的声音，描摹新时代 ​ 展开c",CUC广播台,2023年03月31日 22:01 ,1,6,0,45
"#赠票#
烛光音乐会：遇见春日浪漫💕

春风拂面，浪漫复苏🌷4月9日，云鼎乐团将在#中国传媒大学广告博物馆# 为大家带来一场充满氛围感的浪漫烛光音乐会✨

经过演奏家精心改编重新诠释，音乐得以跨越时间和空间与我们相遇、🎼当耳熟能详的经典影视作品的主题曲响起，不知你会联想到怎样的画面🎞 ​ 展开c",广院学实交流会,2023年03月31日 20:00,2,4,0,45
"#声音潮流季##第十四届大学生声音潮流季#中国传媒大学超话#中国传媒大学#
声潮晚会倒计时第8天 | 主视觉海报发布
声音博物馆寻觅、记录、陈列、收藏着永恒的声音
恰似日出，呈现金乌入碧空
亦或音乐，传播听觉的美学
四月七日 中传礼堂（1500报）
声音博物馆，邀您共赴视听盛宴
​ 展开c",CUC广播台,2023年03月30日 23:46 ,0,2,0,45
恭喜星耀学员李政庭考取中国传媒大学表演专业全国第18名的好成绩！艺考超话#表演艺考生##艺考生##艺考##中国传媒大学##2023届艺考生# 2北京·北京浩瀚星耀文化传媒有限公司 ​,浩瀚星耀艺术中心,2023年03月22日 13:04 ,7,11,0,45
21摄影摄像班的专业实训课，今天进行转播摄像技巧和节目制作流程演练，各个岗位、各个工种、分工合作、磨练技艺、培养习惯、实践理论，努力成为专业的摄像师。#祥视角##祥子影像##中国传媒大学# 2北京·中国传媒大学 ​,祥子影像,2023年03月16日 20:54 ,0,3,0,46
关于三脚架你真的了解吗？今天再次邀请图瑞斯创始人蒋勇为21级摄影摄像班的同学们分享三脚架的基础知识。从结构功能设计到阻尼动平衡操作，从使用技巧到镜头语言应用，专业实训课从最基本的操作开始#中国传媒大学##祥视角##祥子影像# ​,祥子影像,2023年03月09日 21:25 ,0,66,0,46
"传媒大学附近，自己整租找合租室友1人，无中介
房间①：次卧带阳台朝北，面积26平米，押一付三，2300/月
房间 ②： 单人间 6平米，1000/月
🍀位置：传媒大学地铁附近，小区门口就有公交站，地铁。
🍀厨房共用，使用方便。民用水电。无线网，水电网均摊。
🍀周边：日常生活所需周边都可满足，电影 ​ 展开c",好路巧,2023年03月07日 09:14 ,3,12,0,46
"成绩出来和提交材料时间往往距离都很近，因此，很多事情都要向前赶。这是在考研的各个时期，我反复强调的。
复试资料已经备好，大家可以重点看看科研设想的部分以及整个复试的流程。
只要跟去年分数线差不太多就可以准备材料了，虽然材料准备时间很短，但是只要夜以继日，是有可能准备出一份出色的材料 ​ 展开c",广院印象,2023年02月22日 11:09 ,0,2,0,46
很久之前就听说过一句话“你的大学老师很可能就是你能接触到的社会上最厉害的人”，现在我是狠狠的相信了。细数一下，我们中传的很多老师真的是低调又有实力，也教出了很多优秀的学生，原来大佬竟在我身边！你们学校也有这样的老师吗？#中国传媒大学# #闪闪发光的同学# L高君雨的微博视频 ​,高君雨,2023年02月08日 18:40 ,28,291,0,46
中国传媒大学超话很喜欢CUC的一些文创～比如这个草稿纸我刚拿到的时候就舍不得用…#中国传媒大学##文创##随手拍# ​,中国传媒大学微博协会,2023年02月04日 17:56 ,4,26,0,46
"中国传媒大学超话  CUC美食集锦（📍附地址！）放假在家的这些天也很想念学校的美食～#中国传媒大学##美食##校园生活# ​​​
来源：@中国传媒大学微博协会 2北京·中国传媒大学 ​",北京校园,2023年02月02日 17:58 ,2,3,0,46
中国传媒大学超话 🕰虽然已经一学期过去啦～当初刚来到这里时的那份欣喜与激动却依然记忆犹新🌟#中国传媒大学##开学季##大学生活# ​,中国传媒大学微博协会,2023年02月02日 08:58 ,4,22,0,47
中国传媒大学超话 收集了一些之前隔离餐的照片！我们真的有被传传照顾得很好#中国传媒大学##见过最实在的隔离餐##记录# ​,中国传媒大学微博协会,2023年01月31日 10:27 ,6,12,0,47
中国传媒大学超话 CUC的几个标志性地点📍非小白杨们知道哪些呢～#地标##中国传媒大学##校园##原相机拍照挑战# ​,中国传媒大学微博协会,2023年01月07日 19:13 ,5,30,0,47
中国传媒大学超话 “站在通往梆子井的天桥上望，夕阳真的很美。”🌇#夕阳##随手拍##风景##中国传媒大学# ​,中国传媒大学微博协会,2023年01月05日 17:26 ,10,19,0,47
"我和董丽娜聊了聊为什么我们如此感恩中传
#小常记者手记##中国传媒大学#
L常常常新宇的微博视频 ​",常常常新宇,2023-12-05 22:16 转赞人数超过10,2,27,0,23
来自四川彝族的 瓦扎拉薇@拉薇Vivian 高考以 四川省艺术统考播音与主持艺术专业全省第八； 中国传媒大学播音与主持艺术专业考试全国29名 ； 中国传媒大学中英双语播音全国26名，考入中国传媒大学。 “渔夫在出海前，并不知道鱼在哪里，可是他们还是选择了出发，因为他们相信会满载而归” #艺考# ​ 展开c,中戏北电的帅哥们,2023-11-29 23:41 转赞人数超过20,15,62,0,23
"【深夜plog🧩 】
忽然觉得2023就快结束转眼又是一年了？
#闪闪发光的同学##令人心动的日常##中国传媒大学# ​",柯柯suguoi,2023-11-28 11:34 转赞人数超过10,19,23,0,23
"齐越节主持小记✨
📝从去年的选手到今年的主持人
在后台见证了太多热泪盈眶 千千万万个我们爱着这个舞台 
·走好脚下路 生活会给你意想不到的惊喜
小小雨 漫漫撒中国传媒大学超话#齐越节##播音主持# #主持##青春# #舞台# #出圈吧大学生# #中国传媒大学# 2北京·中国传媒大学播音主持艺术学院 ​",魏小园儿,2023-11-22 11:10 转赞人数超过50,12,88,0,24
时间过得好快呀～🍂#中国传媒大学##vlog# 2北京·中国传媒大学 L刘乐瑶happy的微博视频 ​,刘乐瑶happy,2023-11-20 12:23 转赞人数超过80,37,153,0,24
"音乐剧《三星堆》公开课的惊喜嘉宾 @X玖少年团赵磊 与小白杨们现场交流分享，并且送上了他诚挚的祝福🥰希望小白杨们始终保持对艺术、对传统文化的热爱，继续探索未来的艺术之路⭐️

点击下方视频⬇️
快来和学小实一起接受#赵磊# 的祝福吧～

#中国传媒大学#赵磊超话#音乐剧三星堆##探秘三星堆# ​ 展开c",广院学实交流会,2023-11-19 22:11 转赞人数超过100,27,175,0,24
"20周年展演时，我大二，是在台上的表演者；
25周年展演时，我已毕业，是在台下的观众。
齐越节，是播音学子永远的盛典！
回来真好！舞台真好！
#齐越节##中国传媒大学##主持人# 2北京·中国传媒大学 ​",雪儿bling,2023-11-19 07:05 转赞人数超过200,61,499,0,24
"【11月🧩】
超级超级甜
#中国传媒大学##闪闪发光的同学##令人心动的日常##周末去哪儿##致自己# ​",柯柯suguoi,2023-11-17 21:56 转赞人数超过10,14,27,0,24
"👧#辣辣日常手帐# 
上课ing😀✌～#中国传媒大学#李嘉欣Josie超话🌟#李嘉欣Josie# 2北京·中国传媒大学 ​",李嘉欣Josie,2023-11-16 15:28 转赞人数超过10,18,26,0,24
"#中传着火##中国传媒大学#
p了 2北京·中国传媒大学 ​",svGar,2023-11-16 10:41 转赞人数超过1200,75,1341,0,25
🎃#中国传媒大学##halloween#中国传媒大学超话 2北京·中国传媒大学 ​,白日梦爱好者Bruce_,2023-11-01 13:56 转赞人数超过10,0,36,0,26
"【10月碎片🧩】
一些秋天温暖的证明
#一条plog告别十月##中国传媒大学##周末去哪儿##北京的秋天# ​",柯柯suguoi,2023-10-29 21:17 转赞人数超过10,16,22,0,26
"CUC风采之星1.0｜amazing night！
还见到了敬一丹老师和陈铭老师，拥有了🈶️播院字标的羽绒服好幸福的一天

#中国传媒大学##风采之星##敬一丹##陈铭# 2北京·中国传媒大学 ​",Mai的小世界,2023-10-27 17:47 转赞人数超过10,8,18,0,26
"此时此刻，生图直出，美好的季节，美好的校园。
#令人心动的日常##校园宝藏地#
#中国传媒大学# @中国传媒大学 2北京·中国传媒大学图书馆 ​",中国传媒大学刘俊,2023-10-25 23:38 转赞人数超过10,0,15,0,26
CUC‘s 🍁🍂🍂#中国传媒大学# 2北京·中国传媒大学 ​,Mai的小世界,2023-10-21 19:51 转赞人数超过10,11,56,0,27
"周日清晨开工，硕士博士生文献考试。
#中国传媒大学# @中国传媒大学 2北京·中国传媒大学立德楼 ​",中国传媒大学刘俊,2023-10-15 23:59 转赞人数超过30,2,35,0,27
"#北京Cosplay摄影棚# #毕设拍摄# #中国传媒大学#
今日影棚｜央美的同学来拍作业啦📸
今日份影棚
央美的小姐姐来拍作业啦
小姐姐从#中央美术学院# 骑车二十来分钟就到了
下周档期充裕 欢迎同学们私信预约～

‼️免费使用 神牛影室闪光灯 、丰富的灯具（附件）及摄影道具
‼️免费使用 超大空间的化 ​ 展开c",Animation研究社,2023-10-01 17:15 转赞人数超过10,0,0,0,28
"首次双语主持，收获满满
#北京国际设计周##中国传媒大学##播音主持##设计之夜#中国传媒大学超话 ​",军中娃-陈美君,2023-09-22 21:30 转赞人数超过10,7,30,0,28
我们要用觉知力和创造力打赢这场超越战#中国传媒大学# #开学# #开学典礼# #创造力# L中传周月亮的微博视频 ​,中传周月亮,2023-09-20 11:42 转赞人数超过40,16,94,0,29
中国传媒大学2023级新生开学典礼全程回放#中国传媒大学##中国传媒大学2023级新生开学典礼# L迷妹星闻的微博视频 ​,迷妹星闻,2023-09-17 14:58 转赞人数超过20,1,34,0,29
"毕业生姜某回学校了！
#中国传媒大学# 2北京·中国传媒大学 ​",XXPJ111,2023-09-17 12:17 转赞人数超过10,5,14,0,29
军训开始啦！#中国传媒大学# 2北京·中国传媒大学 ​,Mai的小世界,2023-09-16 18:15 转赞人数超过100,17,203,0,29
开学典礼～23表本 出发！🥰#中国传媒大学##中国传媒大学2023开学典礼##大一新生# 2北京·中国传媒大学 ​,累炖ldoon,2023-09-15 17:10 转赞人数超过100,12,128,0,29
"开学快乐～🥳
欢迎大家来中传！锅盔是真的真的真的好吃我爱星光食堂
#中国传媒大学# #开学季# ​",D了个yyyy,2023-09-14 22:52 转赞人数超过100,26,268,0,30
"明德湖畔🎙️
#中国传媒大学##播音主持# 2北京·中国传媒大学 ​",Mai的小世界,2023-09-13 20:11 转赞人数超过20,2,36,0,30
"上周迎新，今天开学典礼，又是生机勃勃的一届新生。突然想起，数月前的毕业典礼照片还没发，后面五张图，那时欢送了四位优秀的女生。
​一届一届，迎来送往，这可能形塑了高校老师基本的时间观、岁月观。
#中国传媒大学# @中国传媒大学 #传媒艺术学# 2北京·中国传媒大学 ​",中国传媒大学刘俊,2023-09-13 17:23 转赞人数超过50,4,63,0,30
"中传开学典礼｜同一个地方，再次启航✨

上一次站在400报的演讲台上，是两个月前，台下是19播本的同学们和家长们，我说，“祝大家永远做自己”；这一次，台下是23播本的弟弟妹妹，我怀着期盼和你们分享了大学生活的第一堂“不刻板”的党课。

上一次开学典礼，是四年前，变与不变都在此刻交织碰撞：我 ​ 展开c",彤七七呀_,2023-09-13 10:20 转赞人数超过10,15,55,0,30
"情况就是这么个情况
#中国传媒大学# 2北京·中国传媒大学 ​",你喜欢莎乐美嘛,2023-09-12 22:02 转赞人数超过10,7,35,0,30
"“今天，做幸福的中传人。”

#开学##中国传媒大学# 2北京·中国传媒大学 ​",伞中栖,2023-09-11 20:42 转赞人数超过20,9,53,0,30
中国传媒大学2023级广播电视编导专业新生合辑#中国传媒大学# ​,中戏北电的帅哥们,2023-09-11 18:59 转赞人数超过30,5,54,0,30
一转眼成中传播本大三老师姐了#中国传媒大学##玩转开学季# 2北京·中国传媒大学 LElaine孙雅琳的微博视频 ​,Elaine孙雅琳,2023-09-11 12:16 转赞人数超过20,4,37,0,31
"梦想的种子从南方飘到北方。扎根 生长。

#中国传媒大学##玩转开学季# 2北京·中国传媒大学 ​",张清河V,2023-09-11 09:51 转赞人数超过20,0,35,0,31
"中国传媒大学超话 祝老师们教师节快乐
祝愿大家都在这里成长为幸福的传媒人
#中国传媒大学# 2北京·中国传媒大学 L黄亭羽-的微博视频 ​",超级无敌闲蛋黄,2023-09-10 19:48 转赞人数超过10,7,35,0,31
"中国传媒大学超话
中传2023开学典礼 | 外国语言文化学院
上学期就开始拍的开学典礼视频 真的好荣幸被选上当演员这也是我第一次看成片 真的好感动呜呜呜
去年的开学典礼屏幕上还是我和外院的第一张合照
今年就成了宣传片里的主角 连续两年都在开学典礼的屏幕上看到自己 真的好幸运好幸运
新 ​ 展开c",胡桃迦迦迦迦子,2023-09-10 17:16 转赞人数超过30,7,51,0,31
中国传媒大学开学报道第一天！满眼的青春活力！祝大家大学生活开心快乐顺顺利利！#中国传媒大学##开学季# ​,中戏北电的帅哥们,2023-09-07 18:17 转赞人数超过600,75,1024,0,31
"快上🚢
#中国传媒大学##开学季# 2北京·中国传媒大学 ​",你喜欢莎乐美嘛,2023-09-07 13:12 转赞人数超过20,19,38,0,31
你一定要配得上这一路的颠沛流离#中国传媒大学# ​,S_李双,2023-09-05 11:25 转赞人数超过10,5,17,0,32
中国传媒大学超话 晚安啦，明天我这个小白杨要去报道啦#中国传媒大学# ​,把月亮偷偷给你,2023-09-02 06:48 转赞人数超过20,19,57,0,32
"开工
@中国传媒大学 #中国传媒大学# 2北京·中国传媒大学 ​",中国传媒大学刘俊,2023-09-01 12:50 转赞人数超过20,0,33,0,32
"很纯粹的开心
毫无杂念
#微博原创者计划##内蒙古##中国传媒大学# 2兴安 ​",Elaine孙雅琳,2023-08-15 19:44 转赞人数超过20,9,32,0,33
"【二食堂】
学校附近的东北菜是我的二食堂。我是说，一顿连一半都吃不完，需要打包二次加热的食堂
#中国传媒大学##我的美食日记##城市味蕾战##好好吃饭##为何东北菜量大# ​",柯柯suguoi,2023-08-03 21:59 转赞人数超过10,29,19,0,33
中国传媒大学23级播音与主持艺术专业（中朝、中韩双语播音主持方向）新生合辑#中国传媒大学# ​,中戏北电的帅哥们,2023-08-01 16:05 转赞人数超过70,11,152,0,33
"夏日来信 是结束也是开始
中传23播本王雨珊 未来4年请多多指教啦
#中国传媒大学# ​",脆脆鲨-722,2023-07-30 21:00 转赞人数超过50,15,165,0,33
"中传播本上岸啦🫶！我想：月亮奔我而来了。
#中国传媒大学##播音主持艺考##晒录取通知书# ​",葱葱翀_,2023-07-30 19:32 转赞人数超过100,56,499,0,33
"跨学科就怕半跨不跨的尴尬，哪边都不精。比如我的新闻算法跨法学&公共管理，感觉太过于宏大理论。跨神经科学，认知心理学的博论，又要避免探入不深
好比一记花里胡哨的扫堂腿，对敌方的伤害为0。为了掩饰尴尬，得再接一套花拳绣腿的地板动作。围观的人挺多，但是没输出还是不顶事儿😅 ​ 展开c",柯柯suguoi,2023-07-30 17:19 转赞人数超过10,14,26,0,34
终于收到录取通知书啦，前几天看到其他学校同学的开箱都很丰富，大家一起来看看中传的都有啥吧！#中国传媒大学# #闪闪发光的同学# L高君雨的微博视频 ​,高君雨,2023-07-30 12:19 转赞人数超过200,72,1836,0,34
"#中国传媒大学#中国传媒大学超话 通知书到啦～这一年来，摔了太多跟头磕破了太多次皮，也因为各种原因曾把自己贬低到体无完肤一文不值，但穿过风暴之眼，回过头，看到家人们欣慰、自豪的笑，我才发现：
我特别努力！我很优秀！我的家人以我为骄傲！！！ ​",张大膘zzz,2023-07-28 21:02 转赞人数超过50,22,105,0,34
"轻舟已过万重山🍃
梦校的录取通知书和双学位证书一起到啦～
#研究生录取通知书##中国传媒大学# @中国传媒大学 ​",将将然,2023-07-28 11:47 转赞人数超过70,6,112,0,34
"终于来到CUC🥰
五天夏令营结束啦！学到很多专业知识，小课老师好美好美啊啊啊
非常宝贵的一次机会，更高处见吧中传！
#闪闪发光的同学##中国传媒大学# ​​​ 2北京·中国传媒大学 ​",我叫毕和和,2023-07-24 11:05 转赞人数超过700,66,1722,0,35
下一站#中国传媒大学##高考上岸锦鲤##晒录取通知书# ​,D了个yyyy,2023-07-23 02:32 转赞人数超过100,43,687,0,35
中国传媒大学文编2023新生合辑#中国传媒大学#艺考超话#艺考# ​,中戏北电的帅哥们,2023-07-22 21:04 转赞人数超过90,49,167,0,35
"又回母校当杨老师啦🧑‍🏫
2023中国传媒大学双语主播夏令营💗
同学们棒👍🏻年轻真好👏🏻
感谢老师 感恩母校
个位数的饭菜真香呀哈哈哈
杨若天TIAN超话#中国传媒大学# ​",杨若天TIAN,2023-07-22 16:06 转赞人数超过2600,189,3539,0,36
"中国传媒大学超话#中国传媒大学#
阿巴阿巴，我考上了我的梦校I'm coming有没有国本的啊1+3的，快来认识一下😎 ​",把月亮偷偷给你,2023-07-22 08:36 转赞人数超过50,58,174,0,36
"「大一•启」
这一年收获了许多tag：大一新生 播音生 双播生
选手 主持人 志愿者 演员播报员引导员每一个
角色都是最好的我自己 谨以此片 记录我的大一
生活🥳中国传媒大学超话#中国传媒大学##播音主持##双语播音##大学生活#中国传媒大学超话中国传媒大学超话 2北京·中国传媒大学 ​ 展开c",胡桃迦迦迦迦子,2023-07-19 19:50 转赞人数超过10,1,59,0,36
"一年内拍到27个一线明星，我是怎么做到的？📸

大家好，我是旁白摄影艺考的创始人，百威！
在不带艺考的那半年，我也是明星摄影师。

我始终觉得当你真正有行业里的各个摄影门类的从业机会的时候，有很强的实践能力和资源的时候，反而能带给学生更多的动力和考试的的时候去努力的方向！学生都叫我卷 ​ 展开c",Amorill,2023-07-18 14:15 转赞人数超过50,12,641,0,36
#中国传媒大学#  L刘乐瑶happy的微博视频 ​,刘乐瑶happy,2023-07-13 16:19 转赞人数超过100,129,729,0,36
"中传上岸！！！
#中国传媒大学##高考录取# 2北京·中国传媒大学 ​",李泽康kk,2023-07-13 12:56 转赞人数超过30,23,80,0,36
"于是跃入人海 各有风雨灿烂
#中国传媒大学##播音生##毕业季##毕业快乐# ​",高子涵Morii,2023-07-13 10:42 转赞人数超过90,15,129,0,36
"不去回顾，这三年于我就是反反复复，每日记忆、刷题，看日升月落，偶尔记录，翻开网盘去回想，那些重复的画面里是不重复的成长。要去奔赴下一个岸啦！❤

#考研上岸##中国传媒大学#中传考研超话#考研# L张景涵_的微博视频 ​",张景涵_,2023-07-10 22:09 转赞人数超过200,51,799,0,37
很久没回学校，这次回去把东西都打包寄走了，终于知道大学四年的钱都花在哪了。之后还要回中传继续读研，那我们就开学见啦！#中国传媒大学# #闪闪发光的同学# L高君雨的微博视频 ​,高君雨,2023-07-09 19:12 转赞人数超过200,38,893,0,37
"中国传媒大学超话
马上下班💼
争取少发酒疯💭🍻#中国传媒大学# 2北京·中国传媒大学 ​",白日梦爱好者Bruce_,2023-07-07 10:44 转赞人数超过10,5,19,0,37
"百威聊艺考 ｜ 第二期：艺考改革之后
《不会有大量美术生涌入摄影艺考赛道》

上一期我们讲到2024年是或许是中传北电最好艺考拿证的一年。然后也有很多人在问我为什么编导艺考取消之后，虽然编导生他们不会来考摄影，但是美术生为什么也不会来考呢？？摄影归入美术之后岂不是也有美术生来顺便考考摄影 ​ 展开c",Amorill,2023-07-05 20:19 转赞人数超过10,5,24,0,37
最近在网上刷到了很多中传毕业典礼的视频和照片，我真的很遗憾，最后没能参加毕业典礼。明明都到学校了，但因为身体实在不舒服，最后还是没去成。#中国传媒大学# #闪闪发光的同学# L高君雨的微博视频 ​,高君雨,2023-07-05 11:27 转赞人数超过200,35,614,0,38
"祝贺2023届本专业中国传媒大学传媒艺术学博士、硕士毕业
《2023届传媒艺术学硕博毕业季：青春恰时来，一跃入人海》文章链接：O2023届传媒艺术学硕博毕业季：青春恰时来，一跃入人海
#传媒艺术学##中国传媒大学# @中国传媒大学 2北京·中国传媒大学 ​",中国传媒大学刘俊,2023-07-04 02:19 转赞人数超过10,9,23,0,38
"18-29岁，在这小破院子待了七年

大一拿了广院冷笑话比赛冠军（最后一届）
大二拿了面包创意大赛二等奖
大三拿了迷笛音乐节优秀志愿者
大四跑去上海，工作了4年
研一从上海跑回来
研二每天训练
研三每天吃

对一个本科早八起不来，上课就睡觉，天天看演出，晚归签假名，剃光头纹身，弹吉他写歌， ​ 展开c",烤瓜师傅黄小岛,2023-07-02 17:26 转赞人数超过20,8,42,0,38
"攒人品啦！！
不论是烟火缭绕的雍和宫，还是带手串，敲电子木鱼，这些似乎越来越成为年轻人崇尚的解压方式。有人认为年轻人把希望寄托在神明身上，但其实我们非常清楚，现实生活中的困境终归要在现实生活中解决，我们更想在为学业、事业焦虑之时从中找到一份精神寄托，获得直 ​ 展开c",空了个格中传考研,2023-07-02 15:48 转赞人数超过100,252,154,0,38
"在埃及最隆重的节日—古尔邦节的这一天，我终于毕业了！双喜临门[爆竹][爆竹]感谢自己，感谢所有帮助过我的人[爱心]再见中传，毕业快乐
#毕业季##中国传媒大学# @中国传媒大学 2北京·中国传媒大学 ​",埃及法老刘正曦,2023-07-02 15:45 转赞人数超过100,39,158,0,38
